,citing,cited_id
2783,28,4738
2784,28,5002
2785,28,5757
2786,28,6066
2787,28,6070
2791,28,7020
2794,28,8363
2795,28,8361
2796,28,8362
2803,28,9380
2813,28,11415
2814,29,174
2815,29,305
2816,29,354
2817,29,365
2818,29,495
2820,29,934
2823,29,1447
2824,29,1459
2825,29,1504
2826,29,1635
2827,29,1763
2828,29,1804
2829,29,2533
2830,29,2690
2831,29,2933
2833,29,3214
2834,29,3130
2838,29,3357
2839,29,3526
2841,29,3687
2842,29,3945
2843,29,4109
2846,29,4740
2847,29,5266
2848,29,5682
2849,29,5817
2850,29,5877
2853,29,6428
2854,29,6145
2855,29,6171
2856,29,7263
2858,29,7510
2859,29,7604
2861,29,7838
2862,29,8110
2863,29,8212
2864,29,8225
2865,29,8292
2867,29,8811
2869,29,9027
2871,29,9657
2872,29,9689
2873,29,9685
2875,29,9732
2876,29,9966
2877,29,9201
2878,29,9967
2880,29,10259
2881,29,10386
2882,29,10149
2885,29,10665
2886,29,10739
2888,29,10990
2891,30,11571
2893,30,1284
2897,30,2117
2898,30,2118
2899,30,2212
2900,30,2904
2902,30,3311
2904,30,3929
2910,30,5130
2911,30,6522
2913,30,6645
2922,30,9502
2924,30,10254
2926,30,10569
2935,31,1838
2938,31,2889
2939,31,3440
2940,31,3439
2942,31,3528
2945,31,3803
2947,31,4503
2949,31,4760
2950,31,5127
2961,31,7696
2962,31,7705
2964,31,7875
2965,31,8235
2970,31,8695
2972,31,8996
2973,31,8622
2975,31,9157
2979,31,10151
2980,31,10879
2985,31,11409
2987,32,95
2988,32,171
2989,32,174
2990,32,218
2991,32,222
2992,32,43
2993,32,854
2994,32,1011
2995,32,627
2997,32,1129
2998,32,1378
3000,32,1668
3001,32,2045
3003,32,1801
3005,32,2798
3006,32,2589
3007,32,2895
3008,32,3379
3009,32,3788
3012,32,4764
3013,32,4765
3014,32,4807
3015,32,4941
3016,32,5232
3017,32,5265
3019,32,5584
3020,32,5611
3021,32,5619
3022,32,5768
3023,32,5818
3024,32,5852
3025,32,5885
3026,32,6341
3029,32,6547
3030,32,6614
3032,32,6977
3033,32,7048
3034,32,7534
3036,32,7969
3037,32,8369
3038,32,8768
3039,32,8888
3040,32,9028
3041,32,9456
3043,32,9535
3044,32,9983
3045,32,10084
3046,32,10175
3047,32,10368
3049,32,10671
3050,32,10670
3052,32,10906
3053,33,1011
3054,33,1129
3058,33,1461
3059,33,1668
3060,33,1670
3061,33,1715
3062,33,1915
3063,33,1937
3064,33,1979
3066,33,2709
3067,33,2740
3069,33,3393
3070,33,3723
3071,33,4091
3072,33,4940
3073,33,5265
3074,33,6338
